linelist,teff,tefferr,logg,loggerr,feh,feherr,vt,vterr,loggastero,dloggastero,loggLC,dloggLC,convergence,fixteff,fixlogg,fixfeh,fixvt,outlier,weights,model,refine,EPcrit,RWcrit,ABdiffcrit
HD20010.moog,6153,176,4.01,0.67,-0.18,0.11,1.68,0.40,3.72,0.67,3.79,0.67,True,False,True,False,False,1Iter,null,kurucz95,True,0.0003,0.001,0.0033
HD20010.moog,6157,180,4.06,0.76,-0.18,0.11,1.62,0.44,3.76,0.76,3.84,0.76,True,False,False,False,False,1Iter,null,kurucz95,True,0.0003,0.001,0.0033
