teff	tefferr	logg	loggerr	feh	feherr	author	bibcode
4682	--	2.450	--	-0.020	--	Mishenina	2006A&A...456.1109M
4682	4	--	--	--	--	Kovtyukh	2006MNRAS.371..879K
4801	89	2.830	0.230	-0.030	0.080	da-Silva	2011A&A...526A..71D
4806	50	2.760	0.240	-0.070	0.080	da-Silva	2015A&A...580A..24D
