teff,logg,feh,reference
4708,2.47,0.02,2015AJ....150...88L
4780,2.52,0.03,2013AJ....146...73P
4710,2.7 ,nan,2008AJ....135..209M
nan,nan,-0.02,2008A&A...480...91S
4682,2.45,-0.02,2008A&A...480...91S
